127.0.0.1, 2012-10-29 22:03:03, GET, /, HTTP/1.1, 303, 0.001305
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/default/index, HTTP/1.1, 200, 1.346722
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000522
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002370
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000290
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001534
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.001583
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001670
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000355
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.021029
127.0.0.1, 2012-10-29 22:03:05, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000594
127.0.0.1, 2012-10-29 22:03:06, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.002051
127.0.0.1, 2012-10-29 22:03:06, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001302
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/default/index, HTTP/1.1, 200, 0.075987
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000648
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000879
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000488
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000320
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000806
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/css/skeleton.css, HTTP/1.1, 200, 0.000475
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/css/superfish.css, HTTP/1.1, 200, 0.000503
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001425
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/js/superfish.js, HTTP/1.1, 200, 0.001375
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/images/tag-cloud-color-small.png, HTTP/1.1, 200, 0.000780
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/images/tablet.png, HTTP/1.1, 200, 0.000748
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000333
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/images/poweredby.png, HTTP/1.1, 200, 0.001189
127.0.0.1, 2012-10-29 22:03:23, GET, /examples/static/favicon.ico, HTTP/1.1, 200, 0.000309
127.0.0.1, 2012-10-29 22:03:24, GET, /examples/static/images/back-02.png, HTTP/1.1, 200, 0.001197
127.0.0.1, 2012-10-29 22:03:24, GET, /admin/default/index, HTTP/1.1, 200, 0.262254
127.0.0.1, 2012-10-29 22:03:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000873
127.0.0.1, 2012-10-29 22:03:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2012-10-29 22:03:43, GET, /, HTTP/1.1, 303, 0.001273
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.050715
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.000589
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000855
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002794
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.001022
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.001150
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000837
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.006348
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000329
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000356
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000418
127.0.0.1, 2012-10-29 22:03:43, GET, /welcome/static/favicon.ico, HTTP/1.1, 304, 0.000475
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/default/index, HTTP/1.1, 200, 0.077310
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001258
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000853
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001822
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.002395
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001215
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001388
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001344
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000407
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000429
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000558
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000399
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.002123
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000359
127.0.0.1, 2012-10-29 22:03:51, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.003463
127.0.0.1, 2012-10-29 22:03:55, POST, /admin/default/index, HTTP/1.1, 303, 0.018636
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/default/site, HTTP/1.1, 200, 0.024126
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000589
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000903
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001266
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000778
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000855
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000719
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001825
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001071
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000660
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000842
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000266
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000876
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001167
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.001334
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000927
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001188
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000892
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.007723
127.0.0.1, 2012-10-29 22:03:55, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.001996
127.0.0.1, 2012-10-29 22:03:57, GET, /admin/default/twitter, HTTP/1.1, 200, 1.188182
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/default/index, HTTP/1.1, 200, 0.011379
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000417
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001825
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/css/skeleton.css, HTTP/1.1, 304, 0.000729
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.001347
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.001459
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/js/superfish.js, HTTP/1.1, 304, 0.001118
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000534
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/css/superfish.css, HTTP/1.1, 304, 0.001833
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001472
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/favicon.ico, HTTP/1.1, 304, 0.000337
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000319
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/images/tablet.png, HTTP/1.1, 304, 0.001726
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000822
127.0.0.1, 2012-10-29 22:04:16, GET, /examples/static/images/tag-cloud-color-small.png, HTTP/1.1, 304, 0.003336
127.0.0.1, 2012-10-29 22:04:17, GET, /examples/static/images/poweredby.png, HTTP/1.1, 304, 0.000737
127.0.0.1, 2012-10-29 22:04:17, GET, /examples/static/images/back-02.png, HTTP/1.1, 304, 0.000308
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/wizard/index, HTTP/1.1, 200, 0.022355
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000463
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000706
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000687
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000981
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000633
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000754
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000554
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000955
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000262
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.001238
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.000908
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000638
127.0.0.1, 2012-10-29 22:04:39, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000517
127.0.0.1, 2012-10-29 22:04:49, POST, /admin/wizard/index, HTTP/1.1, 200, 0.024235
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000795
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000808
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000886
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000548
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000640
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000904
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.001669
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002227
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000321
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000918
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000274
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.001046
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000784
127.0.0.1, 2012-10-29 22:04:49, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.001067
127.0.0.1, 2012-10-29 22:04:57, POST, /admin/wizard/index, HTTP/1.1, 303, 0.020020
127.0.0.1, 2012-10-29 22:05:02, GET, /admin/wizard/step1, HTTP/1.1, 200, 5.644866
127.0.0.1, 2012-10-29 22:05:02, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000580
127.0.0.1, 2012-10-29 22:05:02, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000447
127.0.0.1, 2012-10-29 22:05:02, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.001013
127.0.0.1, 2012-10-29 22:05:02, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2012-10-29 22:05:02, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000380
